,state,season,mmwr_week,age_category,sex,race,rate,HHS_region
45,California,2017,Overall,----75-84 years,Male,"A/PI, non-Hispanic",55.7,9
46,California,2017,Overall,----75-84 years,Male,"AI/AN, non-Hispanic",0,9
47,California,2017,Overall,----75-84 years,Male,"Black, non-Hispanic",90.8,9
48,California,2017,Overall,----75-84 years,Male,Hispanic,62.9,9
49,California,2017,Overall,----75-84 years,Male,"White, non-Hispanic",119.5,9
50,California,2017,Overall,----85+ years,Female,"A/PI, non-Hispanic",112,9
51,California,2017,Overall,----85+ years,Female,"AI/AN, non-Hispanic",0,9
52,California,2017,Overall,----85+ years,Female,"Black, non-Hispanic",97.9,9
53,California,2017,Overall,----85+ years,Female,Hispanic,103.8,9
54,California,2017,Overall,----85+ years,Female,"White, non-Hispanic",158.7,9
55,California,2017,Overall,----85+ years,Male,"A/PI, non-Hispanic",155.9,9
56,California,2017,Overall,----85+ years,Male,"AI/AN, non-Hispanic",0,9
57,California,2017,Overall,----85+ years,Male,"Black, non-Hispanic",222.8,9
58,California,2017,Overall,----85+ years,Male,Hispanic,112.7,9
59,California,2017,Overall,----85+ years,Male,"White, non-Hispanic",192.2,9
60,Georgia,2017,Overall,----18-29 years,Female,"A/PI, non-Hispanic",0,4
61,Georgia,2017,Overall,----18-29 years,Female,"AI/AN, non-Hispanic",0,4
62,Georgia,2017,Overall,----18-29 years,Female,"Black, non-Hispanic",2.4,4
63,Georgia,2017,Overall,----18-29 years,Female,Hispanic,0,4
64,Georgia,2017,Overall,----18-29 years,Female,"White, non-Hispanic",0,4
65,Georgia,2017,Overall,----18-29 years,Male,"A/PI, non-Hispanic",0,4
66,Georgia,2017,Overall,----18-29 years,Male,"AI/AN, non-Hispanic",0,4
67,Georgia,2017,Overall,----18-29 years,Male,"Black, non-Hispanic",0.7,4
68,Georgia,2017,Overall,----18-29 years,Male,Hispanic,0,4
69,Georgia,2017,Overall,----18-29 years,Male,"White, non-Hispanic",0,4
70,Georgia,2017,Overall,----30-39 years,Female,"A/PI, non-Hispanic",3.6,4
71,Georgia,2017,Overall,----30-39 years,Female,"AI/AN, non-Hispanic",0,4
72,Georgia,2017,Overall,----30-39 years,Female,"Black, non-Hispanic",2.8,4
73,Georgia,2017,Overall,----30-39 years,Female,Hispanic,0,4
74,Georgia,2017,Overall,----30-39 years,Female,"White, non-Hispanic",1,4
75,Georgia,2017,Overall,----30-39 years,Male,"A/PI, non-Hispanic",0,4
76,Georgia,2017,Overall,----30-39 years,Male,"AI/AN, non-Hispanic",0,4
77,Georgia,2017,Overall,----30-39 years,Male,"Black, non-Hispanic",0.9,4
78,Georgia,2017,Overall,----30-39 years,Male,Hispanic,0,4
79,Georgia,2017,Overall,----30-39 years,Male,"White, non-Hispanic",1.9,4
80,Georgia,2017,Overall,----40-49 years,Female,"A/PI, non-Hispanic",0,4
81,Georgia,2017,Overall,----40-49 years,Female,"AI/AN, non-Hispanic",0,4
82,Georgia,2017,Overall,----40-49 years,Female,"Black, non-Hispanic",1.5,4
83,Georgia,2017,Overall,----40-49 years,Female,Hispanic,0,4
84,Georgia,2017,Overall,----40-49 years,Female,"White, non-Hispanic",0.9,4
85,Georgia,2017,Overall,----40-49 years,Male,"A/PI, non-Hispanic",4.3,4
86,Georgia,2017,Overall,----40-49 years,Male,"AI/AN, non-Hispanic",0,4
87,Georgia,2017,Overall,----40-49 years,Male,"Black, non-Hispanic",0.9,4
88,Georgia,2017,Overall,----40-49 years,Male,Hispanic,0,4
89,Georgia,2017,Overall,----40-49 years,Male,"White, non-Hispanic",0.9,4
90,Georgia,2017,Overall,----65-74 years,Female,"A/PI, non-Hispanic",10.9,4
91,Georgia,2017,Overall,----65-74 years,Female,"AI/AN, non-Hispanic",0,4
92,Georgia,2017,Overall,----65-74 years,Female,"Black, non-Hispanic",5,4
93,Georgia,2017,Overall,----65-74 years,Female,Hispanic,0,4
94,Georgia,2017,Overall,----65-74 years,Female,"White, non-Hispanic",2.4,4
95,Georgia,2017,Overall,----65-74 years,Male,"A/PI, non-Hispanic",0,4
96,Georgia,2017,Overall,----65-74 years,Male,"AI/AN, non-Hispanic",0,4
97,Georgia,2017,Overall,----65-74 years,Male,"Black, non-Hispanic",4.9,4
98,Georgia,2017,Overall,----65-74 years,Male,Hispanic,18.6,4
99,Georgia,2017,Overall,----65-74 years,Male,"White, non-Hispanic",6.8,4
100,Georgia,2017,Overall,----75-84 years,Female,"A/PI, non-Hispanic",0,4
101,Georgia,2017,Overall,----75-84 years,Female,"AI/AN, non-Hispanic",0,4
102,Georgia,2017,Overall,----75-84 years,Female,"Black, non-Hispanic",22.2,4
103,Georgia,2017,Overall,----75-84 years,Female,Hispanic,0,4
104,Georgia,2017,Overall,----75-84 years,Female,"White, non-Hispanic",15.1,4
105,Georgia,2017,Overall,----75-84 years,Male,"A/PI, non-Hispanic",0,4
106,Georgia,2017,Overall,----75-84 years,Male,"AI/AN, non-Hispanic",0,4
107,Georgia,2017,Overall,----75-84 years,Male,"Black, non-Hispanic",22,4
108,Georgia,2017,Overall,----75-84 years,Male,Hispanic,0,4
109,Georgia,2017,Overall,----75-84 years,Male,"White, non-Hispanic",9.9,4
110,Georgia,2017,Overall,----85+ years,Female,"A/PI, non-Hispanic",0,4
111,Georgia,2017,Overall,----85+ years,Female,"AI/AN, non-Hispanic",0,4
112,Georgia,2017,Overall,----85+ years,Female,"Black, non-Hispanic",12,4
113,Georgia,2017,Overall,----85+ years,Female,Hispanic,0,4
114,Georgia,2017,Overall,----85+ years,Female,"White, non-Hispanic",19.8,4
115,Georgia,2017,Overall,----85+ years,Male,"A/PI, non-Hispanic",0,4
116,Georgia,2017,Overall,----85+ years,Male,"AI/AN, non-Hispanic",0,4
117,Georgia,2017,Overall,----85+ years,Male,"Black, non-Hispanic",0,4
118,Georgia,2017,Overall,----85+ years,Male,Hispanic,0,4
119,Georgia,2017,Overall,----85+ years,Male,"White, non-Hispanic",9.3,4
120,Maryland,2017,Overall,----18-29 years,Female,"A/PI, non-Hispanic",0,3
121,Maryland,2017,Overall,----18-29 years,Female,"AI/AN, non-Hispanic",0,3
122,Maryland,2017,Overall,----18-29 years,Female,"Black, non-Hispanic",3.9,3
123,Maryland,2017,Overall,----18-29 years,Female,Hispanic,0,3
124,Maryland,2017,Overall,----18-29 years,Female,"White, non-Hispanic",0.9,3
125,Maryland,2017,Overall,----18-29 years,Male,"A/PI, non-Hispanic",0,3
126,Maryland,2017,Overall,----18-29 years,Male,"AI/AN, non-Hispanic",0,3
127,Maryland,2017,Overall,----18-29 years,Male,"Black, non-Hispanic",5.5,3
128,Maryland,2017,Overall,----18-29 years,Male,Hispanic,0,3
129,Maryland,2017,Overall,----18-29 years,Male,"White, non-Hispanic",0,3
130,Maryland,2017,Overall,----30-39 years,Female,"A/PI, non-Hispanic",6.2,3
131,Maryland,2017,Overall,----30-39 years,Female,"AI/AN, non-Hispanic",0,3
132,Maryland,2017,Overall,----30-39 years,Female,"Black, non-Hispanic",4.7,3
133,Maryland,2017,Overall,----30-39 years,Female,Hispanic,0,3
134,Maryland,2017,Overall,----30-39 years,Female,"White, non-Hispanic",1,3
135,Maryland,2017,Overall,----30-39 years,Male,"A/PI, non-Hispanic",0,3
136,Maryland,2017,Overall,----30-39 years,Male,"AI/AN, non-Hispanic",0,3
137,Maryland,2017,Overall,----30-39 years,Male,"Black, non-Hispanic",3.9,3
138,Maryland,2017,Overall,----30-39 years,Male,Hispanic,0,3
139,Maryland,2017,Overall,----30-39 years,Male,"White, non-Hispanic",1.9,3
140,Maryland,2017,Overall,----40-49 years,Female,"A/PI, non-Hispanic",0,3
141,Maryland,2017,Overall,----40-49 years,Female,"AI/AN, non-Hispanic",181.5,3
142,Maryland,2017,Overall,----40-49 years,Female,"Black, non-Hispanic",5.2,3
143,Maryland,2017,Overall,----40-49 years,Female,Hispanic,0,3
144,Maryland,2017,Overall,----40-49 years,Female,"White, non-Hispanic",1.1,3
145,Maryland,2017,Overall,----40-49 years,Male,"A/PI, non-Hispanic",7.8,3
146,Maryland,2017,Overall,----40-49 years,Male,"AI/AN, non-Hispanic",0,3
147,Maryland,2017,Overall,----40-49 years,Male,"Black, non-Hispanic",6.4,3
148,Maryland,2017,Overall,----40-49 years,Male,Hispanic,0,3
149,Maryland,2017,Overall,----40-49 years,Male,"White, non-Hispanic",1.1,3
150,Maryland,2017,Overall,----65-74 years,Female,"A/PI, non-Hispanic",35.5,3
151,Maryland,2017,Overall,----65-74 years,Female,"AI/AN, non-Hispanic",0,3
152,Maryland,2017,Overall,----65-74 years,Female,"Black, non-Hispanic",30.3,3
153,Maryland,2017,Overall,----65-74 years,Female,Hispanic,0,3
154,Maryland,2017,Overall,----65-74 years,Female,"White, non-Hispanic",15.9,3
155,Maryland,2017,Overall,----65-74 years,Male,"A/PI, non-Hispanic",0,3
156,Maryland,2017,Overall,----65-74 years,Male,"AI/AN, non-Hispanic",0,3
157,Maryland,2017,Overall,----65-74 years,Male,"Black, non-Hispanic",8.1,3
158,Maryland,2017,Overall,----65-74 years,Male,Hispanic,101.7,3
159,Maryland,2017,Overall,----65-74 years,Male,"White, non-Hispanic",15.3,3
160,Maryland,2017,Overall,----75-84 years,Female,"A/PI, non-Hispanic",36.9,3
161,Maryland,2017,Overall,----75-84 years,Female,"AI/AN, non-Hispanic",0,3
162,Maryland,2017,Overall,----75-84 years,Female,"Black, non-Hispanic",17.4,3
163,Maryland,2017,Overall,----75-84 years,Female,Hispanic,0,3
164,Maryland,2017,Overall,----75-84 years,Female,"White, non-Hispanic",17.1,3
165,Maryland,2017,Overall,----75-84 years,Male,"A/PI, non-Hispanic",44.6,3
166,Maryland,2017,Overall,----75-84 years,Male,"AI/AN, non-Hispanic",0,3
167,Maryland,2017,Overall,----75-84 years,Male,"Black, non-Hispanic",0,3
168,Maryland,2017,Overall,----75-84 years,Male,Hispanic,0,3
169,Maryland,2017,Overall,----75-84 years,Male,"White, non-Hispanic",34.2,3
170,Maryland,2017,Overall,----85+ years,Female,"A/PI, non-Hispanic",0,3
171,Maryland,2017,Overall,----85+ years,Female,"AI/AN, non-Hispanic",0,3
172,Maryland,2017,Overall,----85+ years,Female,"Black, non-Hispanic",12.9,3
173,Maryland,2017,Overall,----85+ years,Female,Hispanic,192.3,3
174,Maryland,2017,Overall,----85+ years,Female,"White, non-Hispanic",36.6,3
175,Maryland,2017,Overall,----85+ years,Male,"A/PI, non-Hispanic",0,3
176,Maryland,2017,Overall,----85+ years,Male,"AI/AN, non-Hispanic",0,3
177,Maryland,2017,Overall,----85+ years,Male,"Black, non-Hispanic",0,3
178,Maryland,2017,Overall,----85+ years,Male,Hispanic,0,3
179,Maryland,2017,Overall,----85+ years,Male,"White, non-Hispanic",41.2,3
180,Minnesota,2017,Overall,----18-29 years,Female,"A/PI, non-Hispanic",0,5
181,Minnesota,2017,Overall,----18-29 years,Female,"AI/AN, non-Hispanic",0,5
182,Minnesota,2017,Overall,----18-29 years,Female,"Black, non-Hispanic",3.2,5
183,Minnesota,2017,Overall,----18-29 years,Female,Hispanic,0,5
184,Minnesota,2017,Overall,----18-29 years,Female,"White, non-Hispanic",0.6,5
185,Minnesota,2017,Overall,----18-29 years,Male,"A/PI, non-Hispanic",0,5
186,Minnesota,2017,Overall,----18-29 years,Male,"AI/AN, non-Hispanic",0,5
187,Minnesota,2017,Overall,----18-29 years,Male,"Black, non-Hispanic",0,5
188,Minnesota,2017,Overall,----18-29 years,Male,Hispanic,5,5
189,Minnesota,2017,Overall,----18-29 years,Male,"White, non-Hispanic",1.2,5
190,Minnesota,2017,Overall,----30-39 years,Female,"A/PI, non-Hispanic",0,5
191,Minnesota,2017,Overall,----30-39 years,Female,"AI/AN, non-Hispanic",0,5
192,Minnesota,2017,Overall,----30-39 years,Female,"Black, non-Hispanic",3.9,5
193,Minnesota,2017,Overall,----30-39 years,Female,Hispanic,0,5
194,Minnesota,2017,Overall,----30-39 years,Female,"White, non-Hispanic",1.3,5
195,Minnesota,2017,Overall,----30-39 years,Male,"A/PI, non-Hispanic",0,5
196,Minnesota,2017,Overall,----30-39 years,Male,"AI/AN, non-Hispanic",0,5
197,Minnesota,2017,Overall,----30-39 years,Male,"Black, non-Hispanic",4,5
198,Minnesota,2017,Overall,----30-39 years,Male,Hispanic,0,5
199,Minnesota,2017,Overall,----30-39 years,Male,"White, non-Hispanic",0,5
200,Minnesota,2017,Overall,----40-49 years,Female,"A/PI, non-Hispanic",0,5
201,Minnesota,2017,Overall,----40-49 years,Female,"AI/AN, non-Hispanic",0,5
202,Minnesota,2017,Overall,----40-49 years,Female,"Black, non-Hispanic",0,5
203,Minnesota,2017,Overall,----40-49 years,Female,Hispanic,0,5
204,Minnesota,2017,Overall,----40-49 years,Female,"White, non-Hispanic",0,5
205,Minnesota,2017,Overall,----40-49 years,Male,"A/PI, non-Hispanic",0,5
206,Minnesota,2017,Overall,----40-49 years,Male,"AI/AN, non-Hispanic",0,5
207,Minnesota,2017,Overall,----40-49 years,Male,"Black, non-Hispanic",0,5
208,Minnesota,2017,Overall,----40-49 years,Male,Hispanic,0,5
209,Minnesota,2017,Overall,----40-49 years,Male,"White, non-Hispanic",0.7,5
210,Minnesota,2017,Overall,----65-74 years,Female,"A/PI, non-Hispanic",0,5
211,Minnesota,2017,Overall,----65-74 years,Female,"AI/AN, non-Hispanic",0,5
212,Minnesota,2017,Overall,----65-74 years,Female,"Black, non-Hispanic",33.4,5
213,Minnesota,2017,Overall,----65-74 years,Female,Hispanic,0,5
214,Minnesota,2017,Overall,----65-74 years,Female,"White, non-Hispanic",1.7,5
215,Minnesota,2017,Overall,----65-74 years,Male,"A/PI, non-Hispanic",0,5
216,Minnesota,2017,Overall,----65-74 years,Male,"AI/AN, non-Hispanic",0,5
217,Minnesota,2017,Overall,----65-74 years,Male,"Black, non-Hispanic",0,5
218,Minnesota,2017,Overall,----65-74 years,Male,Hispanic,0,5
219,Minnesota,2017,Overall,----65-74 years,Male,"White, non-Hispanic",2.9,5
220,Minnesota,2017,Overall,----75-84 years,Female,"A/PI, non-Hispanic",0,5
221,Minnesota,2017,Overall,----75-84 years,Female,"AI/AN, non-Hispanic",0,5
222,Minnesota,2017,Overall,----75-84 years,Female,"Black, non-Hispanic",39.4,5
223,Minnesota,2017,Overall,----75-84 years,Female,Hispanic,0,5
224,Minnesota,2017,Overall,----75-84 years,Female,"White, non-Hispanic",17,5
225,Minnesota,2017,Overall,----75-84 years,Male,"A/PI, non-Hispanic",0,5
226,Minnesota,2017,Overall,----75-84 years,Male,"AI/AN, non-Hispanic",0,5
227,Minnesota,2017,Overall,----75-84 years,Male,"Black, non-Hispanic",62.9,5
228,Minnesota,2017,Overall,----75-84 years,Male,Hispanic,0,5
229,Minnesota,2017,Overall,----75-84 years,Male,"White, non-Hispanic",6.7,5
230,Minnesota,2017,Overall,----85+ years,Female,"A/PI, non-Hispanic",0,5
231,Minnesota,2017,Overall,----85+ years,Female,"AI/AN, non-Hispanic",0,5
232,Minnesota,2017,Overall,----85+ years,Female,"Black, non-Hispanic",0,5
233,Minnesota,2017,Overall,----85+ years,Female,Hispanic,0,5
234,Minnesota,2017,Overall,----85+ years,Female,"White, non-Hispanic",5.9,5
235,Minnesota,2017,Overall,----85+ years,Male,"A/PI, non-Hispanic",0,5
236,Minnesota,2017,Overall,----85+ years,Male,"AI/AN, non-Hispanic",0,5
237,Minnesota,2017,Overall,----85+ years,Male,"Black, non-Hispanic",0,5
238,Minnesota,2017,Overall,----85+ years,Male,Hispanic,0,5
239,Minnesota,2017,Overall,----85+ years,Male,"White, non-Hispanic",11.4,5
240,New York,2017,Overall,----18-29 years,Female,"A/PI, non-Hispanic",13.9,2
241,New York,2017,Overall,----18-29 years,Female,"AI/AN, non-Hispanic",0,2
242,New York,2017,Overall,----18-29 years,Female,"Black, non-Hispanic",15.5,2
243,New York,2017,Overall,----18-29 years,Female,Hispanic,0,2
244,New York,2017,Overall,----18-29 years,Female,"White, non-Hispanic",2.8,2
245,New York,2017,Overall,----18-29 years,Male,"A/PI, non-Hispanic",0,2
246,New York,2017,Overall,----18-29 years,Male,"AI/AN, non-Hispanic",0,2
247,New York,2017,Overall,----18-29 years,Male,"Black, non-Hispanic",0,2
248,New York,2017,Overall,----18-29 years,Male,Hispanic,0,2
249,New York,2017,Overall,----18-29 years,Male,"White, non-Hispanic",1.4,2
250,New York,2017,Overall,----30-39 years,Female,"A/PI, non-Hispanic",0,2
251,New York,2017,Overall,----30-39 years,Female,"AI/AN, non-Hispanic",0,2
252,New York,2017,Overall,----30-39 years,Female,"Black, non-Hispanic",8.3,2
253,New York,2017,Overall,----30-39 years,Female,Hispanic,14.1,2
254,New York,2017,Overall,----30-39 years,Female,"White, non-Hispanic",3.8,2
255,New York,2017,Overall,----30-39 years,Male,"A/PI, non-Hispanic",0,2
256,New York,2017,Overall,----30-39 years,Male,"AI/AN, non-Hispanic",0,2
257,New York,2017,Overall,----30-39 years,Male,"Black, non-Hispanic",10.4,2
258,New York,2017,Overall,----30-39 years,Male,Hispanic,0,2
259,New York,2017,Overall,----30-39 years,Male,"White, non-Hispanic",1.9,2
260,New York,2017,Overall,----40-49 years,Female,"A/PI, non-Hispanic",0,2
261,New York,2017,Overall,----40-49 years,Female,"AI/AN, non-Hispanic",0,2
262,New York,2017,Overall,----40-49 years,Female,"Black, non-Hispanic",9.2,2
263,New York,2017,Overall,----40-49 years,Female,Hispanic,0,2
264,New York,2017,Overall,----40-49 years,Female,"White, non-Hispanic",2,2
265,New York,2017,Overall,----40-49 years,Male,"A/PI, non-Hispanic",0,2
266,New York,2017,Overall,----40-49 years,Male,"AI/AN, non-Hispanic",0,2
267,New York,2017,Overall,----40-49 years,Male,"Black, non-Hispanic",11.1,2
268,New York,2017,Overall,----40-49 years,Male,Hispanic,0,2
269,New York,2017,Overall,----40-49 years,Male,"White, non-Hispanic",2,2
270,New York,2017,Overall,----65-74 years,Female,"A/PI, non-Hispanic",64.8,2
271,New York,2017,Overall,----65-74 years,Female,"AI/AN, non-Hispanic",0,2
272,New York,2017,Overall,----65-74 years,Female,"Black, non-Hispanic",51.4,2
273,New York,2017,Overall,----65-74 years,Female,Hispanic,97.9,2
274,New York,2017,Overall,----65-74 years,Female,"White, non-Hispanic",17.3,2
275,New York,2017,Overall,----65-74 years,Male,"A/PI, non-Hispanic",0,2
276,New York,2017,Overall,----65-74 years,Male,"AI/AN, non-Hispanic",0,2
277,New York,2017,Overall,----65-74 years,Male,"Black, non-Hispanic",114.6,2
278,New York,2017,Overall,----65-74 years,Male,Hispanic,61.4,2
279,New York,2017,Overall,----65-74 years,Male,"White, non-Hispanic",26.4,2
280,New York,2017,Overall,----75-84 years,Female,"A/PI, non-Hispanic",0,2
281,New York,2017,Overall,----75-84 years,Female,"AI/AN, non-Hispanic",0,2
282,New York,2017,Overall,----75-84 years,Female,"Black, non-Hispanic",106.7,2
283,New York,2017,Overall,----75-84 years,Female,Hispanic,0,2
284,New York,2017,Overall,----75-84 years,Female,"White, non-Hispanic",32,2
285,New York,2017,Overall,----75-84 years,Male,"A/PI, non-Hispanic",0,2
286,New York,2017,Overall,----75-84 years,Male,"AI/AN, non-Hispanic",0,2
287,New York,2017,Overall,----75-84 years,Male,"Black, non-Hispanic",109.2,2
288,New York,2017,Overall,----75-84 years,Male,Hispanic,0,2
289,New York,2017,Overall,----75-84 years,Male,"White, non-Hispanic",29.2,2
290,New York,2017,Overall,----85+ years,Female,"A/PI, non-Hispanic",0,2
291,New York,2017,Overall,----85+ years,Female,"AI/AN, non-Hispanic",0,2
292,New York,2017,Overall,----85+ years,Female,"Black, non-Hispanic",205.3,2
293,New York,2017,Overall,----85+ years,Female,Hispanic,0,2
294,New York,2017,Overall,----85+ years,Female,"White, non-Hispanic",126.7,2
295,New York,2017,Overall,----85+ years,Male,"A/PI, non-Hispanic",0,2
296,New York,2017,Overall,----85+ years,Male,"AI/AN, non-Hispanic",0,2
297,New York,2017,Overall,----85+ years,Male,"Black, non-Hispanic",0,2
298,New York,2017,Overall,----85+ years,Male,Hispanic,0,2
299,New York,2017,Overall,----85+ years,Male,"White, non-Hispanic",75.8,2
300,Oregon,2017,Overall,----18-29 years,Female,"A/PI, non-Hispanic",6.3,10
301,Oregon,2017,Overall,----18-29 years,Female,"AI/AN, non-Hispanic",0,10
302,Oregon,2017,Overall,----18-29 years,Female,"Black, non-Hispanic",14.2,10
303,Oregon,2017,Overall,----18-29 years,Female,Hispanic,0,10
304,Oregon,2017,Overall,----18-29 years,Female,"White, non-Hispanic",5.2,10
305,Oregon,2017,Overall,----18-29 years,Male,"A/PI, non-Hispanic",0,10
306,Oregon,2017,Overall,----18-29 years,Male,"AI/AN, non-Hispanic",0,10
307,Oregon,2017,Overall,----18-29 years,Male,"Black, non-Hispanic",0,10
308,Oregon,2017,Overall,----18-29 years,Male,Hispanic,0,10
309,Oregon,2017,Overall,----18-29 years,Male,"White, non-Hispanic",4.2,10
310,Oregon,2017,Overall,----30-39 years,Female,"A/PI, non-Hispanic",0,10
311,Oregon,2017,Overall,----30-39 years,Female,"AI/AN, non-Hispanic",0,10
312,Oregon,2017,Overall,----30-39 years,Female,"Black, non-Hispanic",18.6,10
313,Oregon,2017,Overall,----30-39 years,Female,Hispanic,0,10
314,Oregon,2017,Overall,----30-39 years,Female,"White, non-Hispanic",5.7,10
315,Oregon,2017,Overall,----30-39 years,Male,"A/PI, non-Hispanic",0,10
316,Oregon,2017,Overall,----30-39 years,Male,"AI/AN, non-Hispanic",0,10
317,Oregon,2017,Overall,----30-39 years,Male,"Black, non-Hispanic",0,10
318,Oregon,2017,Overall,----30-39 years,Male,Hispanic,0,10
319,Oregon,2017,Overall,----30-39 years,Male,"White, non-Hispanic",0.9,10
320,Oregon,2017,Overall,----40-49 years,Female,"A/PI, non-Hispanic",0,10
321,Oregon,2017,Overall,----40-49 years,Female,"AI/AN, non-Hispanic",0,10
322,Oregon,2017,Overall,----40-49 years,Female,"Black, non-Hispanic",0,10
323,Oregon,2017,Overall,----40-49 years,Female,Hispanic,6.7,10
324,Oregon,2017,Overall,----40-49 years,Female,"White, non-Hispanic",5.5,10
325,Oregon,2017,Overall,----40-49 years,Male,"A/PI, non-Hispanic",0,10
326,Oregon,2017,Overall,----40-49 years,Male,"AI/AN, non-Hispanic",95.4,10
327,Oregon,2017,Overall,----40-49 years,Male,"Black, non-Hispanic",22,10
328,Oregon,2017,Overall,----40-49 years,Male,Hispanic,11.9,10
329,Oregon,2017,Overall,----40-49 years,Male,"White, non-Hispanic",3.2,10
330,Oregon,2017,Overall,----65-74 years,Female,"A/PI, non-Hispanic",53.1,10
331,Oregon,2017,Overall,----65-74 years,Female,"AI/AN, non-Hispanic",0,10
332,Oregon,2017,Overall,----65-74 years,Female,"Black, non-Hispanic",104.7,10
333,Oregon,2017,Overall,----65-74 years,Female,Hispanic,0,10
334,Oregon,2017,Overall,----65-74 years,Female,"White, non-Hispanic",28.8,10
335,Oregon,2017,Overall,----65-74 years,Male,"A/PI, non-Hispanic",22.9,10
336,Oregon,2017,Overall,----65-74 years,Male,"AI/AN, non-Hispanic",0,10
337,Oregon,2017,Overall,----65-74 years,Male,"Black, non-Hispanic",0,10
338,Oregon,2017,Overall,----65-74 years,Male,Hispanic,0,10
339,Oregon,2017,Overall,----65-74 years,Male,"White, non-Hispanic",34.2,10
340,Oregon,2017,Overall,----75-84 years,Female,"A/PI, non-Hispanic",39.3,10
341,Oregon,2017,Overall,----75-84 years,Female,"AI/AN, non-Hispanic",0,10
342,Oregon,2017,Overall,----75-84 years,Female,"Black, non-Hispanic",217.9,10
343,Oregon,2017,Overall,----75-84 years,Female,Hispanic,92.3,10
344,Oregon,2017,Overall,----75-84 years,Female,"White, non-Hispanic",112.6,10
345,Oregon,2017,Overall,----75-84 years,Male,"A/PI, non-Hispanic",0,10
346,Oregon,2017,Overall,----75-84 years,Male,"AI/AN, non-Hispanic",0,10
347,Oregon,2017,Overall,----75-84 years,Male,"Black, non-Hispanic",0,10
348,Oregon,2017,Overall,----75-84 years,Male,Hispanic,0,10
349,Oregon,2017,Overall,----75-84 years,Male,"White, non-Hispanic",64.8,10
350,Oregon,2017,Overall,----85+ years,Female,"A/PI, non-Hispanic",195.5,10
351,Oregon,2017,Overall,----85+ years,Female,"AI/AN, non-Hispanic",0,10
